cell,run_id,dataset,n,rho,p_value
A_draft_within,livecodebench_0,livecodebench,631,-0.04549339160409555,0.2538258483377257
A_draft_within,livecodebench_101,livecodebench,674,-0.20382719918572986,9.398991389502692e-08
A_draft_within,livecodebench_104,livecodebench,640,-0.10745423841813763,0.006509087514124614
A_draft_within,livecodebench_109,livecodebench,700,-0.27207251155688195,2.4050574620084313e-13
A_draft_within,livecodebench_11,livecodebench,819,-0.12116121578135514,0.0005109933445629354
A_draft_within,livecodebench_111,livecodebench,743,-0.23032955370786387,2.1064192205280945e-10
A_draft_within,livecodebench_113,livecodebench,640,-0.20454034179282088,1.7923877757506617e-07
A_draft_within,livecodebench_114,livecodebench,628,-0.09004204798347387,0.024037018851437764
A_draft_within,livecodebench_117,livecodebench,709,-0.12259678607740888,0.0010717634904645072
A_draft_within,livecodebench_118,livecodebench,668,-0.1256664968234288,0.0011348571596661002
A_draft_within,livecodebench_119,livecodebench,691,-0.1407130255572917,0.00020669758011639228
A_draft_within,livecodebench_12,livecodebench,770,-0.16968583171435608,2.187075189588796e-06
A_draft_within,livecodebench_122,livecodebench,697,-0.07697340835706541,0.04220191440572482
A_draft_within,livecodebench_123,livecodebench,621,-0.11138156394197142,0.0054581505478686655
A_draft_within,livecodebench_125,livecodebench,670,-0.08500243481034067,0.02779922578410249
A_draft_within,livecodebench_126,livecodebench,543,-0.23643705545509291,2.4597530126509518e-08
A_draft_within,livecodebench_127,livecodebench,706,-0.14514137164839572,0.0001087550818080738
A_draft_within,livecodebench_128,livecodebench,659,-0.11531527362021037,0.0030314278701250265
A_draft_within,livecodebench_13,livecodebench,725,-0.24015110442059473,5.707040957519465e-11
A_draft_within,livecodebench_132,livecodebench,707,-0.206971592437128,2.7956970223782303e-08
A_draft_within,livecodebench_133,livecodebench,641,-0.18151493230559773,3.7442591516145042e-06
A_draft_within,livecodebench_134,livecodebench,437,-0.14782565396589162,0.0019455781634866015
A_draft_within,livecodebench_136,livecodebench,808,-0.016029618756459297,0.6491299546963878
A_draft_within,livecodebench_143,livecodebench,545,-0.17602805593275903,3.591654067031894e-05
A_draft_within,livecodebench_146,livecodebench,379,-0.13402459950533152,0.008992009798576221
A_draft_within,livecodebench_15,livecodebench,767,-0.16662559135444951,3.4908056621715095e-06
A_draft_within,livecodebench_22,livecodebench,614,-0.1834995331985888,4.726159656357601e-06
A_draft_within,livecodebench_23,livecodebench,853,-0.17513812656797872,2.6405514289879873e-07
A_draft_within,livecodebench_26,livecodebench,644,-0.16545386146771648,2.4461930136180007e-05
A_draft_within,livecodebench_27,livecodebench,735,-0.23038350626985593,2.607463309641429e-10
A_draft_within,math500_1,math500,852,-0.1839696574319149,6.36475689400465e-08
A_draft_within,math500_10,math500,962,-0.036003219129390744,0.2645976030361855
A_draft_within,math500_101,math500,746,-0.018188337708266146,0.6199042452461776
A_draft_within,math500_103,math500,862,-0.06302809438695228,0.06436421538073023
A_draft_within,math500_105,math500,668,-0.043648054973070345,0.2599376672262248
A_draft_within,math500_106,math500,417,-0.12575124854505698,0.010157645745223171
A_draft_within,math500_107,math500,771,0.08997936678957037,0.012438103835280878
A_draft_within,math500_108,math500,808,-0.08645668541161457,0.013957296454284437
A_draft_within,math500_109,math500,763,-0.03846567329645408,0.2886139891146273
A_draft_within,math500_110,math500,682,-0.14142707722281891,0.00021118179804359628
A_draft_within,math500_113,math500,200,0.003939809751370454,0.9558450507007932
A_draft_within,math500_114,math500,721,-0.029437114538887203,0.42997841920379576
A_draft_within,math500_117,math500,615,0.09966245272968381,0.013410452449293488
A_draft_within,math500_123,math500,785,0.003583592277644842,0.9201499156774743
A_draft_within,math500_125,math500,373,-0.2640988210559569,2.2711586457411042e-07
A_draft_within,math500_126,math500,983,-0.10126324379099547,0.0014777156549838002
A_draft_within,math500_128,math500,787,-0.2362541041300282,1.9135349859833462e-11
A_draft_within,math500_130,math500,951,-0.013599324355799688,0.6753274570188627
A_draft_within,math500_131,math500,739,-0.07602954356383451,0.038798082651412685
A_draft_within,math500_132,math500,340,-0.16089434099606323,0.0029277225235384025
A_draft_within,math500_135,math500,844,0.21851523567621026,1.3942102791665658e-10
A_draft_within,math500_138,math500,764,-0.20319426977761604,1.4581119416988227e-08
A_draft_within,math500_14,math500,677,-0.03844792751707668,0.31784026659868264
A_draft_within,math500_140,math500,699,-0.05899188921153284,0.11917891030424865
A_draft_within,math500_141,math500,715,-0.31453711479483154,6.96630846110466e-18
A_draft_within,math500_142,math500,841,-0.09570158020382835,0.005476274539458885
A_draft_within,math500_148,math500,646,-0.22973503847947657,3.4851316693283233e-09
A_draft_within,math500_149,math500,859,-0.06560352022859536,0.05460261241739694
A_draft_within,math500_150,math500,712,-0.0994643925022118,0.007908145107849963
A_draft_within,math500_151,math500,780,-0.04235399299492953,0.2373978771960715
C_target_within,livecodebench_0,livecodebench,631,0.021470549752818757,0.5903515034709922
C_target_within,livecodebench_101,livecodebench,674,0.04170636741040827,0.2795988442287666
C_target_within,livecodebench_104,livecodebench,640,-0.06719205624693866,0.08942544288111985
C_target_within,livecodebench_109,livecodebench,700,0.0027049773886138797,0.9430482105190267
C_target_within,livecodebench_11,livecodebench,819,-0.04397818560546558,0.20865895246463195
C_target_within,livecodebench_111,livecodebench,743,0.01427921634233576,0.6975811360171171
C_target_within,livecodebench_113,livecodebench,640,-0.06933171070275665,0.07966217377081966
C_target_within,livecodebench_114,livecodebench,628,0.0017470599409799903,0.9651483172093128
C_target_within,livecodebench_117,livecodebench,709,-0.048641862363053366,0.1957794346700262
C_target_within,livecodebench_118,livecodebench,668,0.050976466025136204,0.1882041409703597
C_target_within,livecodebench_119,livecodebench,691,0.004335430825324849,0.9094287232672668
C_target_within,livecodebench_12,livecodebench,770,-0.025148073006019248,0.4859234481737065
C_target_within,livecodebench_122,livecodebench,697,0.030086337095000002,0.42774522681552035
C_target_within,livecodebench_123,livecodebench,621,-0.12669528233846272,0.0015581678047463074
C_target_within,livecodebench_125,livecodebench,670,-1.43557053850279e-06,0.9999704069114096
C_target_within,livecodebench_126,livecodebench,543,0.04146225465484314,0.33486715846700926
C_target_within,livecodebench_127,livecodebench,706,0.0035541786936336187,0.9248948131648655
C_target_within,livecodebench_128,livecodebench,659,0.06324961088217873,0.10475571834979253
C_target_within,livecodebench_13,livecodebench,725,0.014544910507197436,0.6958130421932293
C_target_within,livecodebench_132,livecodebench,707,0.034044335947838525,0.3660584191109
C_target_within,livecodebench_133,livecodebench,641,-0.06476664981937764,0.10136320795141615
C_target_within,livecodebench_134,livecodebench,437,-0.008204003288401332,0.8642138398126001
C_target_within,livecodebench_136,livecodebench,808,0.00042183683214414773,0.990447720596491
C_target_within,livecodebench_143,livecodebench,545,0.07093147729973355,0.09808808320201966
C_target_within,livecodebench_146,livecodebench,379,0.0436467388197833,0.39682322766853767
C_target_within,livecodebench_15,livecodebench,767,-0.010019944685847517,0.7817383518672794
C_target_within,livecodebench_22,livecodebench,614,-0.06463237012345303,0.10961263688195703
C_target_within,livecodebench_23,livecodebench,853,-0.0027178381151732184,0.9368247305871645
C_target_within,livecodebench_26,livecodebench,644,-0.017405150708266814,0.6593081886810442
C_target_within,livecodebench_27,livecodebench,735,0.08245454338434169,0.02538989872519864
C_target_within,math500_1,math500,852,-0.014978345344684058,0.6624115250061688
C_target_within,math500_10,math500,962,0.06422714301984517,0.04642115945516549
C_target_within,math500_101,math500,746,-0.08804985413236703,0.01614829829552591
C_target_within,math500_103,math500,862,-0.0011345553552421202,0.9734656292333113
C_target_within,math500_105,math500,668,-0.05530514886099207,0.15334485669924175
C_target_within,math500_106,math500,417,0.12201219906740621,0.012652519230551664
C_target_within,math500_107,math500,771,-0.00941116901770692,0.7941691181712025
C_target_within,math500_108,math500,808,-0.05558658477228894,0.11437223480703412
C_target_within,math500_109,math500,763,-0.043668756653234705,0.22826685471683975
C_target_within,math500_110,math500,682,-0.025489820597994407,0.5063339753282017
C_target_within,math500_113,math500,200,-0.004100372486312876,0.9540475000525505
C_target_within,math500_114,math500,721,-0.007607053015537297,0.8384246959821445
C_target_within,math500_117,math500,615,-0.021432923273034154,0.5957661288678536
C_target_within,math500_123,math500,785,-0.03365602872279967,0.34632896266514324
C_target_within,math500_125,math500,373,0.04826174137811966,0.35262881705452614
C_target_within,math500_126,math500,983,0.016985289905487845,0.594796843059063
C_target_within,math500_128,math500,787,-0.09110175024734274,0.01055848492667384
C_target_within,math500_130,math500,951,-0.08793607486897122,0.0066578686131808455
C_target_within,math500_131,math500,739,-0.0011343815028061535,0.9754406330881493
C_target_within,math500_132,math500,340,0.07827678842090523,0.14979727301728937
C_target_within,math500_135,math500,844,0.015228212441729271,0.6586519775008008
C_target_within,math500_138,math500,764,0.01829420322470114,0.6136458340507527
C_target_within,math500_14,math500,677,0.030199317019343724,0.43275284361855715
C_target_within,math500_140,math500,699,-0.06613107628551512,0.08060311370898289
C_target_within,math500_141,math500,715,0.010253056605786468,0.7843236726403044
C_target_within,math500_142,math500,841,0.03571248857824499,0.3009250131871509
C_target_within,math500_148,math500,646,-0.0822797931760249,0.03654933873177313
C_target_within,math500_149,math500,859,0.0036541259856154636,0.9148349177623873
C_target_within,math500_150,math500,712,0.005178906999947969,0.8902810450207268
C_target_within,math500_151,math500,780,-0.07639996236574309,0.03288932947972189
