cell,run_id,dataset,n,rho,p
A_draft_within,livecodebench_0,livecodebench,631,-0.011191655943807442,0.7790305996532705
A_draft_within,livecodebench_104,livecodebench,640,0.01753724374327086,0.6578902765957862
A_draft_within,livecodebench_114,livecodebench,628,-0.0029052233504916355,0.9420768427788127
A_draft_within,livecodebench_117,livecodebench,709,0.0378938929650192,0.3136540830585787
A_draft_within,livecodebench_12,livecodebench,770,0.08550092947435496,0.01764202755947549
A_draft_within,livecodebench_126,livecodebench,543,0.1507326707976212,0.000424299553424027
A_draft_within,livecodebench_127,livecodebench,706,0.014014670451089813,0.710088332841549
A_draft_within,livecodebench_13,livecodebench,725,0.13918687384767503,0.00017020622764489632
A_draft_within,livecodebench_132,livecodebench,707,0.09849399875270712,0.008776388382158813
A_draft_within,livecodebench_133,livecodebench,641,0.14335761514572734,0.0002713018844027716
A_draft_within,livecodebench_143,livecodebench,545,0.06318177235608428,0.14072979196084992
A_draft_within,livecodebench_26,livecodebench,644,0.08110733284974983,0.0396222362394924
A_draft_within,livecodebench_27,livecodebench,735,0.143362904337188,9.609582922479746e-05
A_draft_within,livecodebench_28,livecodebench,661,0.030522237702149128,0.43337959609964954
A_draft_within,livecodebench_30,livecodebench,805,-0.013569062659515026,0.700676080254783
A_draft_within,livecodebench_34,livecodebench,609,0.1559408696982705,0.00011152054091909237
A_draft_within,livecodebench_36,livecodebench,564,0.08132195219346022,0.053581747977744607
A_draft_within,livecodebench_39,livecodebench,602,0.1350327923238628,0.00089547591488756
A_draft_within,livecodebench_44,livecodebench,635,0.05227786872453692,0.18828651486989195
A_draft_within,livecodebench_55,livecodebench,669,0.07702243595267133,0.04643457611141082
A_draft_within,livecodebench_56,livecodebench,751,0.0716520950789019,0.049665492058056517
A_draft_within,livecodebench_6,livecodebench,508,0.14165539324905738,0.0013693194168949963
A_draft_within,livecodebench_60,livecodebench,774,0.042735121037697985,0.23501128059614126
A_draft_within,livecodebench_63,livecodebench,639,0.14407033239142272,0.00025836491049972436
A_draft_within,livecodebench_64,livecodebench,706,0.09659378898445048,0.010228122318133224
A_draft_within,livecodebench_76,livecodebench,483,0.06598577484051381,0.14761494565768918
A_draft_within,livecodebench_81,livecodebench,668,0.012281445539682833,0.7513650370727375
A_draft_within,livecodebench_93,livecodebench,698,0.03426505429827745,0.36604046629829184
A_draft_within,livecodebench_95,livecodebench,673,0.1462873053595758,0.00013982779393457225
A_draft_within,livecodebench_96,livecodebench,631,0.11687706397128851,0.003280220866912384
A_draft_within,math500_1,math500,852,0.07498435217540511,0.028626679210261526
A_draft_within,math500_108,math500,808,0.04608159038961414,0.19068607424111111
A_draft_within,math500_125,math500,373,0.19954922602566452,0.00010441617326376134
A_draft_within,math500_126,math500,983,0.042411042867589614,0.18397594797292763
A_draft_within,math500_128,math500,787,0.11408860484205183,0.001346065494165962
A_draft_within,math500_130,math500,951,-0.007434330863343179,0.8188971503647233
A_draft_within,math500_131,math500,739,0.04575059564003094,0.2141425915741205
A_draft_within,math500_132,math500,340,0.058866273522618515,0.2790828447537872
A_draft_within,math500_141,math500,715,0.17253393993453145,3.4800833468589214e-06
A_draft_within,math500_150,math500,712,0.06373986331419881,0.08921903057723944
A_draft_within,math500_154,math500,709,0.09679181926201372,0.009914684288787449
A_draft_within,math500_163,math500,837,-0.03957497426870296,0.2527569192286919
A_draft_within,math500_172,math500,477,-0.0530805359169009,0.24724352414132753
A_draft_within,math500_184,math500,915,0.07173718360113743,0.030021590046885673
A_draft_within,math500_194,math500,816,0.06922974309457058,0.04804866304388202
A_draft_within,math500_198,math500,886,-0.011670178284841055,0.7286716724192273
A_draft_within,math500_21,math500,820,0.0022390233673320924,0.9489557781286453
A_draft_within,math500_24,math500,769,0.07604477162954082,0.03499559670909797
A_draft_within,math500_4,math500,621,0.007655559213443792,0.8490004164791931
A_draft_within,math500_42,math500,672,0.08365686453463231,0.030128377631341536
A_draft_within,math500_44,math500,445,0.07821333198972136,0.09939444322919198
A_draft_within,math500_46,math500,920,-0.025540251675936373,0.43908030230414397
A_draft_within,math500_5,math500,331,0.10691521924004727,0.051971829076163434
A_draft_within,math500_59,math500,813,-0.014552803266380058,0.6786325663493464
A_draft_within,math500_64,math500,932,0.02096676531967802,0.5226285536850479
A_draft_within,math500_73,math500,625,-0.04192833620054067,0.2952977976742974
A_draft_within,math500_78,math500,761,0.059018577100713225,0.1037706804425799
A_draft_within,math500_84,math500,699,0.1169343258043038,0.001957028593512975
A_draft_within,math500_92,math500,794,0.14068334608591299,6.957652044042682e-05
A_draft_within,math500_96,math500,781,0.06470356486926496,0.07072673153311437
C_token_within,livecodebench_0,livecodebench,631,0.02265623134246376,0.5699925207862429
C_token_within,livecodebench_104,livecodebench,640,-0.04733255879530957,0.23179063014291643
C_token_within,livecodebench_114,livecodebench,628,0.007447124009605523,0.8522446620702928
C_token_within,livecodebench_117,livecodebench,709,-0.03743396045994597,0.31956791152065034
C_token_within,livecodebench_12,livecodebench,770,-0.0051552329613179775,0.8864319800667485
C_token_within,livecodebench_126,livecodebench,543,0.03568607163972192,0.40658529430327117
C_token_within,livecodebench_127,livecodebench,706,0.004773246209644685,0.8992536027017612
C_token_within,livecodebench_13,livecodebench,725,0.008023787293604919,0.8292389336451954
C_token_within,livecodebench_132,livecodebench,707,0.03685327411668932,0.32782334604264407
C_token_within,livecodebench_133,livecodebench,641,-0.04857179567556535,0.2194228260346154
C_token_within,livecodebench_143,livecodebench,545,0.07100491925775251,0.09773981010131956
C_token_within,livecodebench_26,livecodebench,644,-0.01716001095363821,0.6638105004020379
C_token_within,livecodebench_27,livecodebench,735,0.08617610472692809,0.019455721730136395
C_token_within,livecodebench_28,livecodebench,661,-0.0641372983183204,0.0994470247364049
C_token_within,livecodebench_30,livecodebench,805,0.0018202224394265588,0.9588760305706305
C_token_within,livecodebench_34,livecodebench,609,0.00019147642991027594,0.9962375628514085
C_token_within,livecodebench_36,livecodebench,564,-0.002354174268158215,0.9555134182713362
C_token_within,livecodebench_39,livecodebench,602,0.13287708202235132,0.001083269608685676
C_token_within,livecodebench_44,livecodebench,635,0.06358737551711159,0.10941799085754028
C_token_within,livecodebench_55,livecodebench,669,0.04201648239562639,0.27783100090061824
C_token_within,livecodebench_56,livecodebench,751,0.0665633623254101,0.06828652370471258
C_token_within,livecodebench_6,livecodebench,508,-0.04993067523248077,0.2613063979593752
C_token_within,livecodebench_60,livecodebench,774,0.020601799867819477,0.5671227446885938
C_token_within,livecodebench_63,livecodebench,639,-0.0017727051966974258,0.9643276736978433
C_token_within,livecodebench_64,livecodebench,706,-0.03577125581540476,0.3425771573461687
C_token_within,livecodebench_76,livecodebench,483,-0.0403844920926252,0.37583195123932955
C_token_within,livecodebench_81,livecodebench,668,-0.06577615303408686,0.08937828485363264
C_token_within,livecodebench_93,livecodebench,698,0.0413230020020661,0.27560309362339597
C_token_within,livecodebench_95,livecodebench,673,-0.004870734696936963,0.8996340534766564
C_token_within,livecodebench_96,livecodebench,631,0.012354023436492492,0.7567693071316891
C_token_within,math500_1,math500,852,-0.009678746314473824,0.7778628874335686
C_token_within,math500_108,math500,808,-0.0021256866727289215,0.9518928941865133
C_token_within,math500_125,math500,373,0.013066988055668987,0.8014050195655563
C_token_within,math500_126,math500,983,-0.00634314214428555,0.8425565505834269
C_token_within,math500_128,math500,787,-0.06021193682416969,0.09141052605406075
C_token_within,math500_130,math500,951,-0.03907189108417732,0.2286726116683999
C_token_within,math500_131,math500,739,0.003267137231954553,0.9293477038061959
C_token_within,math500_132,math500,340,0.089987039374959,0.09761439837325352
C_token_within,math500_141,math500,715,0.009329874857314884,0.8033260030455578
C_token_within,math500_150,math500,712,0.006589498227611389,0.8606689281565042
C_token_within,math500_154,math500,709,-0.023055547792744848,0.5399427485474093
C_token_within,math500_163,math500,837,-0.022245707517860876,0.520414095120442
C_token_within,math500_172,math500,477,-0.10588089344840326,0.020727522055397383
C_token_within,math500_184,math500,915,0.049055794535978615,0.13814046722385975
C_token_within,math500_194,math500,816,-0.02236622352419954,0.52346877202718
C_token_within,math500_198,math500,886,-0.04620333090934124,0.16942020182421666
C_token_within,math500_21,math500,820,-0.010166611657951786,0.7712877609599709
C_token_within,math500_24,math500,769,0.04089288880820091,0.257372334896311
C_token_within,math500_4,math500,621,-0.03821365775294422,0.3417525699401446
C_token_within,math500_42,math500,672,-0.013266703700411348,0.731382478379775
C_token_within,math500_44,math500,445,-0.026500294822963236,0.5771517548290117
C_token_within,math500_46,math500,920,-0.054346816695610256,0.09947646084984715
C_token_within,math500_5,math500,331,0.023838942697458336,0.6656453099801867
C_token_within,math500_59,math500,813,-0.021864409890876364,0.5335878211636531
C_token_within,math500_64,math500,932,0.02548010983137689,0.43718460920862917
C_token_within,math500_73,math500,625,-0.08688409928729418,0.029866024479096646
C_token_within,math500_78,math500,761,-0.04509411079822228,0.21402865448354003
C_token_within,math500_84,math500,699,-0.009862882300134043,0.7946319740966495
C_token_within,math500_92,math500,794,-0.021664146616289234,0.5421518261871038
C_token_within,math500_96,math500,781,0.05176208108018922,0.14839761592357206
A_entropy_within_supplement,livecodebench_0,livecodebench,631,-0.04621289628009924,0.2463859452209572
A_entropy_within_supplement,livecodebench_104,livecodebench,640,-0.12512986787077118,0.0015147154151261455
A_entropy_within_supplement,livecodebench_114,livecodebench,628,-0.08947503599551478,0.02494394468423927
A_entropy_within_supplement,livecodebench_117,livecodebench,709,-0.11015703361716041,0.003314851660983336
A_entropy_within_supplement,livecodebench_12,livecodebench,770,-0.16781906066084315,2.834365553070871e-06
A_entropy_within_supplement,livecodebench_126,livecodebench,543,-0.2396857052743423,1.5583920542026015e-08
A_entropy_within_supplement,livecodebench_127,livecodebench,706,-0.13334737729092055,0.00038125942721803786
A_entropy_within_supplement,livecodebench_13,livecodebench,725,-0.24197877911416418,4.040001561774427e-11
A_entropy_within_supplement,livecodebench_132,livecodebench,707,-0.20464245458766567,4.021411078604005e-08
A_entropy_within_supplement,livecodebench_133,livecodebench,641,-0.19645199709857555,5.359102562945694e-07
A_entropy_within_supplement,livecodebench_143,livecodebench,545,-0.18247755347728367,1.8172291209779264e-05
A_entropy_within_supplement,livecodebench_26,livecodebench,644,-0.17567685778848385,7.3105960612360375e-06
A_entropy_within_supplement,livecodebench_27,livecodebench,735,-0.22714970539809337,4.683596868943177e-10
A_entropy_within_supplement,livecodebench_28,livecodebench,661,-0.06875669225217425,0.077316334541372
A_entropy_within_supplement,livecodebench_30,livecodebench,805,-0.07652932569095094,0.02992054152257288
A_entropy_within_supplement,livecodebench_34,livecodebench,609,-0.29966061280958184,4.218169073063754e-14
A_entropy_within_supplement,livecodebench_36,livecodebench,564,-0.15792793066971497,0.00016593831499502377
A_entropy_within_supplement,livecodebench_39,livecodebench,602,-0.20254180422094478,5.409056622665211e-07
A_entropy_within_supplement,livecodebench_44,livecodebench,635,-0.1409626911034073,0.00036670410068267203
A_entropy_within_supplement,livecodebench_55,livecodebench,669,-0.16804504904921436,1.2454723412689425e-05
A_entropy_within_supplement,livecodebench_56,livecodebench,751,-0.19590367453324647,6.225404513012366e-08
A_entropy_within_supplement,livecodebench_6,livecodebench,508,-0.27482091673824016,2.9648014651560785e-10
A_entropy_within_supplement,livecodebench_60,livecodebench,774,-0.11764745843640731,0.0010411766087490316
A_entropy_within_supplement,livecodebench_63,livecodebench,639,-0.23176897066831503,3.06282420911073e-09
A_entropy_within_supplement,livecodebench_64,livecodebench,706,-0.19443600111408194,1.9201067155178705e-07
A_entropy_within_supplement,livecodebench_76,livecodebench,483,-0.1727022669817021,0.00013652151704745532
A_entropy_within_supplement,livecodebench_81,livecodebench,668,-0.09261881773594553,0.016644715678440714
A_entropy_within_supplement,livecodebench_93,livecodebench,698,-0.15731534322104707,2.982545617290033e-05
A_entropy_within_supplement,livecodebench_95,livecodebench,673,-0.24958376821215827,5.1363464257722686e-11
A_entropy_within_supplement,livecodebench_96,livecodebench,631,-0.22032213475171203,2.2406008776028294e-08
A_entropy_within_supplement,math500_1,math500,852,-0.13991282698249,4.165577743595944e-05
A_entropy_within_supplement,math500_108,math500,808,-0.0873333196540575,0.013014126314133827
A_entropy_within_supplement,math500_125,math500,373,-0.27632324383371076,5.803355288870178e-08
A_entropy_within_supplement,math500_126,math500,983,-0.08707361492296667,0.006300455567873823
A_entropy_within_supplement,math500_128,math500,787,-0.22870687203106596,8.466400595879484e-11
A_entropy_within_supplement,math500_130,math500,951,-0.00951555451999827,0.7694731511431714
A_entropy_within_supplement,math500_131,math500,739,-0.07089405323340438,0.054056296702735124
A_entropy_within_supplement,math500_132,math500,340,-0.17082470182166243,0.0015694739246130804
A_entropy_within_supplement,math500_141,math500,715,-0.3176292980762254,3.1814246627652668e-18
A_entropy_within_supplement,math500_150,math500,712,-0.09425998229040977,0.011857553928901147
A_entropy_within_supplement,math500_154,math500,709,-0.19630286319768916,1.370990586141208e-07
A_entropy_within_supplement,math500_163,math500,837,0.05457781333724945,0.11461053174358982
A_entropy_within_supplement,math500_172,math500,477,0.024301328647034715,0.596503939477724
A_entropy_within_supplement,math500_184,math500,915,-0.1213565737073636,0.00023369150070446203
A_entropy_within_supplement,math500_194,math500,816,-0.12137108547303402,0.0005116354403517345
