dataset,run_id,problem_id
livecodebench,livecodebench_0,1873_A
livecodebench,livecodebench_104,3081
livecodebench,livecodebench_114,3153
livecodebench,livecodebench_117,3164
livecodebench,livecodebench_12,2754
livecodebench,livecodebench_126,3190
livecodebench,livecodebench_127,3192
livecodebench,livecodebench_13,2755
livecodebench,livecodebench_132,3199
livecodebench,livecodebench_133,3200
livecodebench,livecodebench_143,3220
livecodebench,livecodebench_26,2810
livecodebench,livecodebench_27,2811
livecodebench,livecodebench_28,2812
livecodebench,livecodebench_30,2817
livecodebench,livecodebench_34,2827
livecodebench,livecodebench_36,2831
livecodebench,livecodebench_39,2834
livecodebench,livecodebench_44,2847
livecodebench,livecodebench_55,2869
livecodebench,livecodebench_56,2870
livecodebench,livecodebench_6,1899_B
livecodebench,livecodebench_60,2877
livecodebench,livecodebench_63,2881
livecodebench,livecodebench_64,2882
livecodebench,livecodebench_76,2917
livecodebench,livecodebench_81,2953
livecodebench,livecodebench_93,3025
livecodebench,livecodebench_95,3032
livecodebench,livecodebench_96,3033
math500,math500_1,test/intermediate_algebra/1994.json
math500,math500_108,test/intermediate_algebra/894.json
math500,math500_125,test/algebra/2232.json
math500,math500_126,test/intermediate_algebra/1063.json
math500,math500_128,test/algebra/661.json
math500,math500_130,test/number_theory/753.json
math500,math500_131,test/algebra/246.json
math500,math500_132,test/prealgebra/1686.json
math500,math500_141,test/number_theory/612.json
math500,math500_150,test/intermediate_algebra/964.json
math500,math500_154,test/geometry/880.json
math500,math500_163,test/algebra/2517.json
math500,math500_172,test/algebra/841.json
math500,math500_184,test/intermediate_algebra/183.json
math500,math500_194,test/intermediate_algebra/2196.json
math500,math500_198,test/counting_and_probability/508.json
math500,math500_21,test/intermediate_algebra/607.json
math500,math500_24,test/algebra/2427.json
math500,math500_4,test/algebra/1349.json
math500,math500_42,test/algebra/2214.json
math500,math500_44,test/prealgebra/1558.json
math500,math500_46,test/precalculus/285.json
math500,math500_5,test/prealgebra/1622.json
math500,math500_59,test/prealgebra/1247.json
math500,math500_64,test/precalculus/1146.json
math500,math500_73,test/algebra/2253.json
math500,math500_78,test/intermediate_algebra/47.json
math500,math500_84,test/algebra/893.json
math500,math500_92,test/counting_and_probability/377.json
math500,math500_96,test/intermediate_algebra/662.json
