cell,run_id,dataset,n,rho,p
A_draft_within,livecodebench_0,livecodebench,631,-0.04621289628009924,0.2463859452209572
A_draft_within,livecodebench_101,livecodebench,674,-0.21742951358729065,1.179367188081701e-08
A_draft_within,livecodebench_104,livecodebench,640,-0.12512986787077118,0.0015147154151261455
A_draft_within,livecodebench_109,livecodebench,700,-0.24107272522130513,1.0310190643260835e-10
A_draft_within,livecodebench_11,livecodebench,819,-0.1228727481396096,0.00042446505849800414
A_draft_within,livecodebench_111,livecodebench,743,-0.22420064590322358,6.417660527950547e-10
A_draft_within,livecodebench_113,livecodebench,640,-0.23157574542418324,3.070855118454197e-09
A_draft_within,livecodebench_114,livecodebench,628,-0.08947503599551478,0.02494394468423927
A_draft_within,livecodebench_117,livecodebench,709,-0.11015703361716041,0.003314851660983336
A_draft_within,livecodebench_118,livecodebench,668,-0.11460257626617533,0.0030149052059036826
A_draft_within,livecodebench_119,livecodebench,691,-0.12780774900354214,0.0007587958940454937
A_draft_within,livecodebench_12,livecodebench,770,-0.16781906066084315,2.834365553070871e-06
A_draft_within,livecodebench_122,livecodebench,697,-0.07418110305759423,0.05027462720833446
A_draft_within,livecodebench_123,livecodebench,621,-0.10475781021773455,0.008988713749238717
A_draft_within,livecodebench_125,livecodebench,670,-0.06498704142902469,0.09280490490748257
A_draft_within,livecodebench_126,livecodebench,543,-0.2396857052743423,1.5583920542026015e-08
A_draft_within,livecodebench_127,livecodebench,706,-0.13334737729092055,0.00038125942721803786
A_draft_within,livecodebench_128,livecodebench,659,-0.11802801853814024,0.0024072863120070684
A_draft_within,livecodebench_13,livecodebench,725,-0.24197877911416418,4.040001561774427e-11
A_draft_within,livecodebench_132,livecodebench,707,-0.20464245458766567,4.021411078604005e-08
A_draft_within,livecodebench_133,livecodebench,641,-0.19645199709857555,5.359102562945694e-07
A_draft_within,livecodebench_134,livecodebench,437,-0.14437858063751705,0.002483126151391938
A_draft_within,livecodebench_136,livecodebench,808,-0.004516208372253679,0.8980091586802139
A_draft_within,livecodebench_143,livecodebench,545,-0.18247755347728367,1.8172291209779264e-05
A_draft_within,livecodebench_146,livecodebench,379,-0.1422677185487906,0.005526371163316677
A_draft_within,livecodebench_15,livecodebench,767,-0.15862796946327115,1.0148924146007697e-05
A_draft_within,livecodebench_22,livecodebench,614,-0.1755035588519241,1.2202487045460412e-05
A_draft_within,livecodebench_23,livecodebench,853,-0.1715238677080065,4.665014643956644e-07
A_draft_within,livecodebench_26,livecodebench,644,-0.17567685778848385,7.3105960612360375e-06
A_draft_within,livecodebench_27,livecodebench,735,-0.22714970539809337,4.683596868943177e-10
A_draft_within,livecodebench_28,livecodebench,661,-0.06875669225217425,0.077316334541372
A_draft_within,livecodebench_3,livecodebench,500,-0.2752122688490754,3.8543726741985824e-10
A_draft_within,livecodebench_30,livecodebench,805,-0.07652932569095094,0.02992054152257288
A_draft_within,livecodebench_32,livecodebench,800,-0.21159848687263577,1.5022948534217388e-09
A_draft_within,livecodebench_33,livecodebench,633,-0.2520559424519684,1.2492986193594209e-10
A_draft_within,livecodebench_34,livecodebench,609,-0.29966061280958184,4.218169073063754e-14
A_draft_within,livecodebench_35,livecodebench,770,-0.21830884097712006,9.242365208408904e-10
A_draft_within,livecodebench_36,livecodebench,564,-0.15792793066971497,0.00016593831499502377
A_draft_within,livecodebench_38,livecodebench,572,-0.16099670403225294,0.00011004065458462996
A_draft_within,livecodebench_39,livecodebench,602,-0.20254180422094478,5.409056622665211e-07
A_draft_within,livecodebench_4,livecodebench,403,-0.2138883011666968,1.4866413228458377e-05
A_draft_within,livecodebench_40,livecodebench,750,-0.1494265412027399,3.982780236530753e-05
A_draft_within,livecodebench_43,livecodebench,651,-0.0806223264169039,0.03973917932110191
A_draft_within,livecodebench_44,livecodebench,635,-0.1409626911034073,0.00036670410068267203
A_draft_within,livecodebench_47,livecodebench,754,-0.13169895295414683,0.00028769475621644224
A_draft_within,livecodebench_49,livecodebench,665,-0.12133830995593836,0.0017201476869085188
A_draft_within,livecodebench_53,livecodebench,691,-0.2509699074991753,2.1912804294707758e-11
A_draft_within,livecodebench_54,livecodebench,769,-0.2690779210224106,3.198040069640736e-14
A_draft_within,livecodebench_55,livecodebench,669,-0.16804504904921436,1.2454723412689425e-05
A_draft_within,livecodebench_56,livecodebench,751,-0.19590367453324647,6.225404513012366e-08
A_draft_within,livecodebench_6,livecodebench,508,-0.27482091673824016,2.9648014651560785e-10
