dataset,run_id,problem_id
livecodebench,livecodebench_0,1873_A
livecodebench,livecodebench_101,3047
livecodebench,livecodebench_104,3081
livecodebench,livecodebench_109,3106
livecodebench,livecodebench_11,2730
livecodebench,livecodebench_111,3141
livecodebench,livecodebench_113,3151
livecodebench,livecodebench_114,3153
livecodebench,livecodebench_117,3164
livecodebench,livecodebench_118,3166
livecodebench,livecodebench_119,3171
livecodebench,livecodebench_12,2754
livecodebench,livecodebench_122,3176
livecodebench,livecodebench_123,3183
livecodebench,livecodebench_125,3188
livecodebench,livecodebench_126,3190
livecodebench,livecodebench_127,3192
livecodebench,livecodebench_128,3193
livecodebench,livecodebench_13,2755
livecodebench,livecodebench_132,3199
livecodebench,livecodebench_133,3200
livecodebench,livecodebench_134,3203
livecodebench,livecodebench_136,3207
livecodebench,livecodebench_143,3220
livecodebench,livecodebench_146,3224
livecodebench,livecodebench_15,2757
livecodebench,livecodebench_22,2792
livecodebench,livecodebench_23,2800
livecodebench,livecodebench_26,2810
livecodebench,livecodebench_27,2811
livecodebench,livecodebench_28,2812
livecodebench,livecodebench_3,1883_B
livecodebench,livecodebench_30,2817
livecodebench,livecodebench_32,2824
livecodebench,livecodebench_33,2825
livecodebench,livecodebench_34,2827
livecodebench,livecodebench_35,2828
livecodebench,livecodebench_36,2831
livecodebench,livecodebench_38,2833
livecodebench,livecodebench_39,2834
livecodebench,livecodebench_4,1883_C
livecodebench,livecodebench_40,2837
livecodebench,livecodebench_43,2845
livecodebench,livecodebench_44,2847
livecodebench,livecodebench_47,2850
livecodebench,livecodebench_49,2855
livecodebench,livecodebench_53,2867
livecodebench,livecodebench_54,2868
livecodebench,livecodebench_55,2869
livecodebench,livecodebench_56,2870
livecodebench,livecodebench_6,1899_B
livecodebench,livecodebench_60,2877
livecodebench,livecodebench_63,2881
livecodebench,livecodebench_64,2882
livecodebench,livecodebench_67,2886
livecodebench,livecodebench_69,2888
livecodebench,livecodebench_7,1899_C
livecodebench,livecodebench_70,2891
livecodebench,livecodebench_75,2916
livecodebench,livecodebench_76,2917
livecodebench,livecodebench_78,2920
livecodebench,livecodebench_80,2952
livecodebench,livecodebench_81,2953
livecodebench,livecodebench_82,2954
livecodebench,livecodebench_84,2977
livecodebench,livecodebench_85,2979
livecodebench,livecodebench_86,2998
