cell,run_id,dataset,n,rho,p_value
A_draft_within,livecodebench_0,livecodebench,631,-0.04549339160409555,0.2538258483377257
A_draft_within,livecodebench_101,livecodebench,674,-0.20382719918572986,9.398991389502692e-08
A_draft_within,livecodebench_104,livecodebench,640,-0.10745423841813763,0.006509087514124614
A_draft_within,math500_1,math500,852,-0.1839696574319149,6.36475689400465e-08
A_draft_within,math500_10,math500,962,-0.036003219129390744,0.2645976030361855
A_draft_within,math500_101,math500,746,-0.018188337708266146,0.6199042452461776
C_target_within,livecodebench_0,livecodebench,631,0.021470549752818757,0.5903515034709922
C_target_within,livecodebench_101,livecodebench,674,0.04170636741040827,0.2795988442287666
C_target_within,livecodebench_104,livecodebench,640,-0.06719205624693866,0.08942544288111985
C_target_within,math500_1,math500,852,-0.014978345344684058,0.6624115250061688
C_target_within,math500_10,math500,962,0.06422714301984517,0.04642115945516549
C_target_within,math500_101,math500,746,-0.08804985413236703,0.01614829829552591
